Timestamp,Frequency,Amplitude,Note
2025-01-21T16:43:30.850084,196.0,-133.07474103161465,G3
2025-01-21T16:43:30.850162,440.0,-141.10124696215303,A4
2025-01-21T16:43:30.850205,466.16,-137.1478058408088,A#4
2025-01-21T16:43:30.850245,261.63,-141.64203036155828,C4
2025-01-21T16:43:30.850284,174.0,-141.7443530830915,F3 (174Hz)
2025-01-21T16:43:30.850323,285.0,-139.1245199895192,C#4 (285Hz)
2025-01-21T16:43:30.850345,396.0,-139.19215798012445,G4 (396Hz)
2025-01-21T16:43:30.850362,417.0,-149.13345256299112,G#4 (417Hz)
2025-01-21T16:43:30.850376,432.0,-145.82413067499994,A4 (432Hz)
2025-01-21T16:43:30.850390,528.0,-135.42634664250508,C5 (528Hz)
2025-01-21T16:43:30.850404,639.0,-145.93364965278317,D#5 (639Hz)
2025-01-21T16:43:30.850419,741.0,-135.02115415043968,F#5 (741Hz)
2025-01-21T16:43:30.850443,852.0,-140.32968655248536,G#5 (852Hz)
2025-01-21T16:43:30.850455,963.0,-138.2785410719902,B5 (963Hz)
2025-01-21T16:43:31.591678,196.0,-120.77369035932149,G3
2025-01-21T16:43:31.591719,440.0,-131.79145168661174,A4
2025-01-21T16:43:31.591734,466.16,-135.0982810582595,A#4
2025-01-21T16:43:31.591750,261.63,-122.98071981346324,C4
2025-01-21T16:43:31.591764,174.0,-115.70809159277329,F3 (174Hz)
2025-01-21T16:43:31.591783,285.0,-123.25891502160277,C#4 (285Hz)
2025-01-21T16:43:31.591796,396.0,-135.3642216180778,G4 (396Hz)
2025-01-21T16:43:31.591815,417.0,-141.0838254370238,G#4 (417Hz)
2025-01-21T16:43:31.591825,432.0,-135.43373751921115,A4 (432Hz)
2025-01-21T16:43:31.591832,528.0,-126.39278145210972,C5 (528Hz)
2025-01-21T16:43:31.591839,639.0,-125.40635786304009,D#5 (639Hz)
2025-01-21T16:43:31.591846,741.0,-130.37517687913302,F#5 (741Hz)
2025-01-21T16:43:31.591853,852.0,-126.43149174048774,G#5 (852Hz)
2025-01-21T16:43:31.591860,963.0,-123.67903864183202,B5 (963Hz)
2025-01-21T16:43:31.969891,196.0,-79.58865053248867,G3
2025-01-21T16:43:31.969943,440.0,-102.49303377330803,A4
2025-01-21T16:43:31.969959,466.16,-98.9901151622816,A#4
2025-01-21T16:43:31.969975,261.63,-91.54661971643552,C4
2025-01-21T16:43:31.969989,174.0,-93.66458653331264,F3 (174Hz)
2025-01-21T16:43:31.970003,285.0,-95.35393809534986,C#4 (285Hz)
2025-01-21T16:43:31.970015,396.0,-102.46125438713787,G4 (396Hz)
2025-01-21T16:43:31.970036,417.0,-90.27350390922385,G#4 (417Hz)
2025-01-21T16:43:31.970049,432.0,-94.7379911287803,A4 (432Hz)
2025-01-21T16:43:31.970062,528.0,-96.38600560034081,C5 (528Hz)
